"","X","Y","silicate_umol/L","temperature_&deg;C","depth_m","region","collection_date","environment_biome","environment_feature","environmental_package","chlorophyll_mg/m3","dissolved_oxygen_mg/L","nitrate_umol/L","phosphate_umol/L","salinity_ppt","NCBI_sample_classification","instrument_model","ENA_checklist"
"11","-75.50833333","39.43666667","0.68","11","1","North Atlantic Ocean:Virginian Marine Ecoregion:Next to Hope Creek nuclear power plant, NJ, USA","2003-11-18T16:30:00+00:00","ocean biome","estuary","water","4.8","4.5","2.2","0.49","34.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"12","-76.43","38.96033333","0.82","1","0.91","North Atlantic Ocean:Virginian Marine Ecoregion:Annapolis, MD, USA","2003-12-18T16:32:00+00:00","ocean biome","estuary","water","21","5.7","3.5","0.38","33.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"13","-75.40633333","36.0079","2.4","9.3","0.91","North Atlantic Ocean:Virginian Marine Ecoregion:11mi off Nags Head, NC, USA","2003-12-19T11:28:00+00:00","ocean biome","coastal ocean","water","3","4.4","4.5","0.6","35.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"14","-79.27766667","32.514","2.1","18.6","0.91","North Atlantic Ocean:Carolinian Marine Ecoregion:South of Charlston, NC, USA","2003-12-20T22:12:00+00:00","ocean biome","coastal ocean","water","1.7","3.8","0.28","0.14","36.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"15","-83.07333333","24.49333333","1.3","25.3","1.5","Gulf of Mexico:Floridian Marine Ecoregion:Off Key West, FL, USA","2004-01-08T11:25:00+00:00","ocean biome","coastal ocean","water","0.2","5.6","1.1","0.057","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"16","-84.35533333","24.18266667","1.3","26.4","2","Gulf of Mexico:Greater Antilles Marine Ecoregion:near US/Cuba border, USA","2004-01-08T19:15:00+00:00","ocean biome","open ocean","water","0.16","5.8","1.1","0.057","35.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"17","-85.427","20.52833333","2","27","1.6","Caribbean Sea:Western Caribbean Marine Ecoregion:Yucatan Channel, Mexico","2004-01-09T18:47:00+00:00","ocean biome","open ocean","water","0.13","6","0.2","0.14","35.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"18","-83.81333333","18.04","2.2","27.4","2","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:35mi off Rosario Bank, Honduras","2004-01-10T13:12:00+00:00","ocean biome","open ocean","water","0.14","5.6","0.59","0.1","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"19","-83.81333333","18.04","2.2","27.4","2","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:35mi off Rosario Bank, Honduras","2004-01-10T13:12:00+00:00","ocean biome","open ocean","water","0.14","5.6","0.59","0.1","35.4","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"20","-80.25866667","10.73266667","2.2","27.7","1.6","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:92mi N of Panama Canal","2004-01-12T14:03:00+00:00","ocean biome","coastal ocean","water","0.23","6.4","0","0.038","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"21","-79.839","9.179","169.5","28.5","1.8","Central America:Panama:Lake Gatun near Barro Colorado, Panama","2004-01-15T15:24:00+00:00","ocean biome","fresh water","water","n/a","5.84","4.2","0.3","0.06","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"22","-79.699","8.141666667","1.1","27.6","1.5","North Pacific Ocean:Panama Bight Marine Ecoregion:35mi off Panama City, Panama","2004-01-19T21:48:00+00:00","ocean biome","coastal ocean","water","0.5","6.4","0.36","0.3","30.7","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"23","-82.90766667","6.502","1.3","29.3","1.9","North Pacific Ocean:Nicoya Marine Ecoregion:250mi from Panama Canal, Panama","2004-01-20T21:39:00+00:00","ocean biome","open ocean","water","0.33","5.4","0.17","0","32.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"24","-86.58033333","5.646666667","1.1","28.7","1.9","North Pacific Ocean:Cocos Islands Marine Ecoregion:30mi from Cocos Island, Costa Rica","2004-01-21T21:00:00+00:00","ocean biome","open ocean","water","0.07","6.5","0.052","0","32.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"25","-87.05","5.583333333","0.83","28","9.6","North Pacific Ocean:Cocos Islands Marine Ecoregion:Bajo Manuelita Cocos Island, Costa Rica","2004-01-27T19:11:00+00:00","ocean biome","coastal ocean","water","0.11","6","0.25","0","32.9","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"26","-87.06666667","5.5","0.73","28.3","0.98","North Pacific Ocean:Cocos Islands Marine Ecoregion:Dirty Rock, Cocos Island, Costa Rica","2004-01-28T16:51:00+00:00","ocean biome","fringing reef","water","0.11","6.5","0.11","0","31.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"27","-89.30646667","1.278566667","0.33","27.8","1.8","North Pacific Ocean:Northern Galapagos Islands Marine Ecoregion:134mi N of Galapagos Islands","2004-02-01T22:16:00+00:00","ocean biome","open ocean","water","0.22","6","0.33","0","32.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"28","-90.429","-1.232","1.2","25.5","2",NA,"2004-02-04T17:41:00+00:00","ocean biome","coastal ocean","water","0.4","6.4","5.5","0.16","34.9","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"29","-90.32293333","-1.221","1","25.6","1.8","South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Off the coast of Floreana Island, Galapagos","2004-02-04T21:47:00+00:00","ocean biome","coastal ocean","water","0.35","4.5","5.8","0.12","34","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"30","-90.8371","-0.203333333","1.7","26.2","1.9","South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:North James Bay, Santiago Island, Galapagos","2004-02-09T00:03:00+00:00","ocean biome","coastal ocean","water","0.4","5.2","3.3","0.0015","34.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"31","-91.64666667","0.278","1.2","26.9","17","North Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Warm seep off Roca Redonda, Galapagos","2004-02-09T17:42:00+00:00","ocean biome","warm seep","water","0.47","4.5","0.71","0","34.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"32","-91.65343333","-0.319333333","4.7","18.6","11","South Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Off the coast of Fernandina Island, Galapagos","2004-02-10T20:43:00+00:00","ocean biome","coastal upwelling","water","0.35","3.3","11.7","0.66","34.9","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"33","-91.07216667","-0.604733333","76.8","25.4","0.3","South Pacific Ocean:Western Galapagos Islands Marine Ecoregion:Mangrove swamp on Isabella Island, Galapagos","2004-02-11T17:30:00+00:00","ocean biome","other: mangrove","water","3.8","2.52","11.3","0.69","33.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"34","-90.44166667","-1.24","45.4","37.6","0.16","South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Punta Cormorant lagoon, Floreana, Galapagos","2004-02-17T19:35:00+00:00","ocean biome","hypersaline pond","water","0.31","0.6","0.23","0.68","33.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"35","-90.29266667","-0.399666667","1.2","27.5","2","South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:North Seamore Island, Galapagos","2004-02-19T23:06:00+00:00","ocean biome","coastal ocean","water","0.36","5.5","2.2","0.042","33.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"36","-91.82133333","1.394766667","2.6","21.8","1.5","North Pacific Ocean:Northern Galapagos Islands Marine Ecoregion:Wolf Island, Galapagos","2004-03-01T22:44:00+00:00","ocean biome","coastal ocean","water","0.28","7.4","7.4","0.46","34.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"37","-91.2122","-0.024933333","1.9","25.8","2","South Pacific Ocean:Eastern Galapagos Islands Marine Ecoregion:Isabella Island, Galapagos","2004-03-02T18:52:00+00:00","ocean biome","coastal ocean","water","0.65","8.5","2.9","0.16","34.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"38","-95.0295","-1.981166667","1.7","28","1.6","South Pacific Ocean:South Pacific Ocean:200mi from Galapagos Islands, near TOGA bouy","2004-03-17T22:38:00+00:00","ocean biome","open ocean","water","0.21","7.9","4.1","0.11","34.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"39","-97.876","-2.597233333","1.7","28.4","1.6","South Pacific Ocean:South Pacific Ocean:400mi from Galapagos Islands","2004-03-18T21:34:00+00:00","ocean biome","open ocean","water","0.23","8","3.8","0.17","34.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"40","-101.3813333","-3.3532","1.3","28.7","1.8","South Pacific Ocean:South Pacific Ocean:600mi from Galapagos Islands","2004-03-19T22:11:00+00:00","ocean biome","open ocean","water","0.23","9.1","3.6","0.063","34.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"41","-105.0730667","-4.5142","1.1","27.8","2","South Pacific Ocean:South Pacific Ocean:800mi from Galapagos Islands","2004-03-20T22:17:00+00:00","ocean biome","open ocean","water","0.19","6.1","2.2","0.049","31.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"42","-108.6906333","-5.943433333","2","28","1.8","South Pacific Ocean:South Pacific Ocean:1000mi from Galapagos Islands","2004-03-21T22:31:00+00:00","ocean biome","open ocean","water","0.17","6.6","5","0.15","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"43","-116.1214333","-7.114966667","0.7","27.6","1.6","South Pacific Ocean:South Pacific Ocean:1600mi from Galapagos Islands","2004-03-23T21:41:00+00:00","ocean biome","open ocean","water","0.14","5.5","3.2","0.0085","38.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"44","-120.4046333","-7.672","1.7","27.6","2","South Pacific Ocean:South Pacific Ocean:1850mi from Galapagos Islands","2004-03-25T00:27:00+00:00","ocean biome","open ocean","water","0.14","6.7","4.8","0.089","35.9","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"45","-124.2462333","-8.4301","1.9","27.7","2","South Pacific Ocean:South Pacific Ocean:600mi from French Polynesia","2004-03-26T00:25:00+00:00","ocean biome","open ocean","water","0.12","7","5","0.14","39.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"46","-124.2462333","-8.4301","1.9","27.7","2","South Pacific Ocean:South Pacific Ocean:600mi from French Polynesia","2004-03-26T00:25:00+00:00","ocean biome","open ocean","water","0.12","7","5","0.14","39.4","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"47","-127.7756667","-9.035333333","1.4","28.3","1.5","South Pacific Ocean:South Pacific Ocean:400mi from French Polynesia","2004-03-26T22:56:00+00:00","ocean biome","open ocean","water","0.13","7","3.8","0.32","37","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"48","-131.4999","-9.5758","1.1","28.7","1.7","South Pacific Ocean:South Pacific Ocean:300mi from French Polynesia","2004-03-27T22:00:00+00:00","ocean biome","open ocean","water","0.13","6.8","3.2","0","35.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"49","-135.4654667","-10.14626667","0.64","28.6","27","South Pacific Ocean:South Pacific Ocean:200mi from French Polynesia","2004-03-29T00:25:00+00:00","ocean biome","open ocean","water","0.12","5.6","1.7","0","37.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"50","-149.8244333","-17.48503333","1.2","28.9","1.3",NA,"2004-05-17T23:41:00+00:00","ocean biome","reef","water","0.1","5.7","0.015","0.21","35.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"51","-149.8244333","-17.48503333","1.2","28.9","1.3",NA,"2004-05-17T23:41:00+00:00","ocean biome","reef","water","0.1","5.7","0.015","0.21","35.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"52","-149.8244333","-17.48503333","1.2","28.9","1.3",NA,"2004-05-17T23:41:00+00:00","ocean biome","reef","water","0.1","5.7","0.015","0.21","35.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"53","-149.8146333","-17.45606667","2.6","28.8","1.2",NA,"2004-05-18T02:49:00+00:00","ocean biome","coastal ocean","water","0.1","4.5","0.015","0.076","32.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"54","-148.2319667","-15.2887","0.52","27.8","1.1","South Pacific Ocean:Tuamotus Marine Ecoregion:Tikehau Lagoon, French Polynesia","2004-05-19T18:38:00+00:00","ocean biome","coastal ocean","water","0.07","4.3","0.44","0","36.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"55","-147.4366667","-15.15366667","0.84","27.3","1.3","South Pacific Ocean:Tuamotus Marine Ecoregion:Rangiroa Lagoon, French Polynesia","2004-05-22T17:04:00+00:00","ocean biome","reef","water","0.17","4.8","0.62","0","34.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"56","-154.2786667","-17.99066667","0.56","28","2","South Pacific Ocean:Tuamotus Marine Ecoregion:leaving French Polynesia","2004-06-10T22:32:00+00:00","ocean biome","open ocean","water","0.03","4.3","0.54","0","35.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"57","-159.814","-21.19966667","0.78","26.6","1.6","South Pacific Ocean:Southern Cook Islands Marine Ecoregion:5mi from Rarotonga, Cook Islands","2004-06-18T02:48:00+00:00","ocean biome","open ocean","water","0.05","2.9","0.43","0","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"58","-163.108","-20.70766667","0.82","26.5","1.9","South Pacific Ocean:Southern Cook Islands Marine Ecoregion:641mi from Kingdom of Tonga","2004-06-19T00:34:00+00:00","ocean biome","open ocean","water","0.06","3.3","0.38","0","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"59","-173.9913333","-18.48333333","0.65","26.8","2",NA,"2004-06-23T22:29:00+00:00","ocean biome","open ocean","water","0.08","2.4","0.47","0","35.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"60","-177.9716","-19.26406667","0.79","26.5","1.4","South Pacific Ocean:Fiji Islands Marine Ecoregion:200mi from Kingdom of Tonga","2004-07-04T00:22:00+00:00","ocean biome","open ocean","water","0.07","2.4","0.62","0","35.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"61","179.7728","-16.92493333","0.76","26.2","1.6","South Pacific Ocean:Fiji Islands Marine Ecoregion:5mi from Taveuni, Fiji","2004-07-15T22:00:00+00:00","ocean biome","open ocean","water","0.12","6.8","0.54","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"62","178.1585","-19.05146667","0.87","25.7","1.1","South Pacific Ocean:Fiji Islands Marine Ecoregion:Kadavu, Fiji","2004-07-17T21:31:00+00:00","ocean biome","coastal ocean","water","0.15","4.7","0.47","0","35","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"63","177.1457667","-17.3309","0.78","26.8","1.7","South Pacific Ocean:Fiji Islands Marine Ecoregion:Wayasewa Island, Fiji","2004-07-26T00:34:00+00:00","ocean biome","coastal ocean","water","0.22","6.6","0.66","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"64","173.35","-17.85666667","1.3","26.1","1.3","South Pacific Ocean:Vanuatu Marine Ecoregion:137mi from Port Villa, Vanuatu","2004-08-03T02:40:00+00:00","ocean biome","open ocean","water","0.07","5.3","0.48","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"65","169.7910333","-16.74273333","1.1","26.8","1.5","South Pacific Ocean:Vanuatu Marine Ecoregion:167mi from Lugansville, Vanuatu","2004-08-04T01:46:00+00:00","ocean biome","open ocean","water","0.08","6","0.5","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"66","167.2279333","-15.54456667","0.85","27","1.8","South Pacific Ocean:Vanuatu Marine Ecoregion:Off of Lugansville (close to SS Coolidge), Espiritu Santo, Vanuatu","2004-08-05T05:32:00+00:00","ocean biome","bay","water","0.1","5.2","0.31","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"67","166.9595333","-22.3984","0.82","22.1","1.5","South Pacific Ocean:New Caledonia Marine Ecoregion:80mi from New Caledonia","2004-08-22T01:09:00+00:00","ocean biome","open ocean","water","0.51","4.9","0.76","0","36","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"68","167.3082","-22.71193333","0.46","21.8","1.8","South Pacific Ocean:New Caledonia Marine Ecoregion:Offshore of Isle des Pins, New Caledonia","2004-09-07T01:21:00+00:00","ocean biome","coastal ocean","water","0.29","6.4","0.74","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"69","167.2947667","-22.70653333","0.73","21.1","1.5","South Pacific Ocean:New Caledonia Marine Ecoregion:Offshore of Isle des Pins, New Caledonia","2004-09-15T21:51:00+00:00","ocean biome","coastal ocean","water","0.28","5.9","0.81","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"70","162.5326667","-23.692","0.49","22.3","1.5","South Pacific Ocean:Open Ocean:567mi from Brisbane, Australia","2004-09-19T00:30:00+00:00","ocean biome","open ocean","water","0.13","5.5","0.41","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"71","159.0702333","-24.97646667","2","22.7","1.8","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:365mi from Brisbane, Australia","2004-09-19T23:24:00+00:00","ocean biome","open ocean","water","0.15","5.5","0.46","0","36","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"72","155.6156667","-26.24853333","0.73","21.9","2","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:160mi from Brisbane, Australia","2004-09-21T00:40:00+00:00","ocean biome","open ocean","water","0.15","4.8","0.61","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"73","151.2674333","-33.8514","1.3","21.8","1.8","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Syndey Harbor, Sydney, Australia","2005-01-03T00:41:00+00:00","ocean biome","bay","water","0.13","1.9","1.4","0.11","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"74","151.2674333","-33.8514","1.3","21.8","1.8","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Syndey Harbor, Sydney, Australia","2005-01-03T00:41:00+00:00","ocean biome","bay","water","0.13","1.9","1.4","0.11","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"75","151.2398667","-34.0081","1.6","21.5","2.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-03T04:06:00+00:00","ocean biome","bay","water","0.13","5.8","1","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"76","151.2398667","-34.0081","1.6","21.5","2.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-03T04:06:00+00:00","ocean biome","bay","water","0.13","5.8","1","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"77","151.07","-33.8301","2.6","23.9","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Home Bush, Sydney, Australia","2005-01-18T02:12:00+00:00","ocean biome","river outflow","water","n/a","5.6","1.2","0.96","34","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"78","151.07","-33.8301","2.6","23.9","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Home Bush, Sydney, Australia","2005-01-18T02:12:00+00:00","ocean biome","river outflow","water","n/a","5.6","1.2","0.96","34.7","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"79","151.2481333","-33.99886667","0.28","21.4","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Bare Island, Sydney, Australia","2005-01-18T22:31:00+00:00","ocean biome","bay","water","0.17","4.7","0.98","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"80","151.2481333","-33.99886667","0.28","21.4","0.61","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Bare Island, Sydney, Australia","2005-01-18T22:31:00+00:00","ocean biome","bay","water","0.17","4.7","0.98","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"81","151.2403333","-34.00693333","0.29","21.8","2.7","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-19T01:11:00+00:00","ocean biome","bay","water","0.19","5.9","1","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"82","151.2403333","-34.00693333","0.29","21.8","2.7","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Botany Bay, Sydney, Australia","2005-01-19T01:11:00+00:00","ocean biome","bay","water","0.19","5.9","1","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"83","151.2188","-33.85926667","3.4","23.6","0.3","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Under Harbor Bridge, Sydney, Australia","2005-01-20T01:56:00+00:00","ocean biome","bay","water","0.2","7.6","0.89","0.13","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"84","151.5078667","-33.45953333","0.83","22","2","South Pacific Ocean:Manning-Hawkesbury Marine Ecoregion:Off Bulbararing Bay, Broken Head Point, NSW, Australia","2005-01-21T00:04:00+00:00","ocean biome","open ocean","water","0.2","7.9","0.77","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"85","153.483","-29.3988","0.79","25.8","2","South Pacific Ocean:Tweed-Moreton Marine Ecoregion:Yamba, NSW, Australia","2005-01-22T05:43:00+00:00","ocean biome","open ocean","water","0.22","8.2","1.7","0","35","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"86","142.8216667","-35.32706667","38.2","26.2","0.3","Australia:Victoria:Lake Tyrell in Sea Lake, Victoria, Australia","2005-02-24T00:17:00+00:00","ocean biome","hypersaline pond","water","0.45","7.14","7.6","2.4","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"87","144.8555333","-37.9313","2.1","21.8","1.4","South Pacific Ocean:Bassian Marine Ecoregion:North Port Philip Bay, Melbourne, Australia","2005-02-26T00:07:00+00:00","ocean biome","bay","water","8.7","4.9","0.11","1.3","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"88","144.4383333","-38.1747","13.8","24.2","0.3","Australia:Geelong:Cheetam Salt ponds, Geelong, Victoria, Australia","2005-03-01T22:42:00+00:00","ocean biome","hypersaline pond","water","9.1","1.53","0.29","0.9","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"89","144.4101","-38.16513333","4.9","28.6","0.3","Australia:Geelong:Cheetam Salt ponds, Geelong, Victoria, Australia","2005-03-02T00:35:00+00:00","ocean biome","hypersaline pond","water","9.1","2.5","0.31","0.83","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"90","144.6469667","-38.29676667","0.38","19.7","0.61","South Pacific Ocean:Bassian Marine Ecoregion:South Port Philip Bay, Melbourne, Australia","2005-03-02T04:54:00+00:00","ocean biome","coastal ocean","water","2.5","4.8","0.21","0","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
