"","accession","sample-name","sample-desc","biome","X","Y","silicate_umol/L","temperature_&deg;C","depth_m","region","collection_date","environment_biome","environment_feature","environmental_package","chlorophyll_mg/m3","dissolved_oxygen_mg/L","nitrate_umol/L","phosphate_umol/L","salinity_ppt","NCBI_sample_classification","instrument_model","ENA_checklist"
"11","ERS689140","GS011 0.1µm","Water sample taken on 2003-11-18T16:30:00+00:00 from site GS011 (lat:39.43666667, long:-75.50833333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-75.50833333","39.43666667","0.68","11","1","North Atlantic Ocean:Virginian Marine Ecoregion:Next to Hope Creek nuclear power plant, NJ, USA","2003-11-18T16:30:00+00:00","ocean biome","estuary","water","4.8","4.5","2.2","0.49","34.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"12","ERS689141","GS012 0.1µm","Water sample taken on 2003-12-18T16:32:00+00:00 from site GS012 (lat:38.96033333, long:-76.43), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-76.43","38.96033333","0.82","1","0.91","North Atlantic Ocean:Virginian Marine Ecoregion:Annapolis, MD, USA","2003-12-18T16:32:00+00:00","ocean biome","estuary","water","21","5.7","3.5","0.38","33.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"13","ERS689142","GS013 0.1µm","Water sample taken on 2003-12-19T11:28:00+00:00 from site GS013 (lat:36.0079, long:-75.40633333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-75.40633333","36.0079","2.4","9.3","0.91","North Atlantic Ocean:Virginian Marine Ecoregion:11mi off Nags Head, NC, USA","2003-12-19T11:28:00+00:00","ocean biome","coastal ocean","water","3","4.4","4.5","0.6","35.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"14","ERS689143","GS014 0.1µm","Water sample taken on 2003-12-20T22:12:00+00:00 from site GS014 (lat:32.514, long:-79.27766667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-79.27766667","32.514","2.1","18.6","0.91","North Atlantic Ocean:Carolinian Marine Ecoregion:South of Charlston, NC, USA","2003-12-20T22:12:00+00:00","ocean biome","coastal ocean","water","1.7","3.8","0.28","0.14","36.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"15","ERS689144","GS015 0.1µm","Water sample taken on 2004-01-08T11:25:00+00:00 from site GS015 (lat:24.49333333, long:-83.07333333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-83.07333333","24.49333333","1.3","25.3","1.5","Gulf of Mexico:Floridian Marine Ecoregion:Off Key West, FL, USA","2004-01-08T11:25:00+00:00","ocean biome","coastal ocean","water","0.2","5.6","1.1","0.057","36","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"16","ERS689145","GS016 0.1µm","Water sample taken on 2004-01-08T19:15:00+00:00 from site GS016 (lat:24.18266667, long:-84.35533333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of USA, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge USA as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-84.35533333","24.18266667","1.3","26.4","2","Gulf of Mexico:Greater Antilles Marine Ecoregion:near US/Cuba border, USA","2004-01-08T19:15:00+00:00","ocean biome","open ocean","water","0.16","5.8","1.1","0.057","35.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"17","ERS689146","GS017 0.1µm","Water sample taken on 2004-01-09T18:47:00+00:00 from site GS017 (lat:20.52833333, long:-85.427), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-85.427","20.52833333","2","27","1.6","Caribbean Sea:Western Caribbean Marine Ecoregion:Yucatan Channel, Mexico","2004-01-09T18:47:00+00:00","ocean biome","open ocean","water","0.13","6","0.2","0.14","35.8","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"18","ERS689147","GS018 0.1µm","Water sample taken on 2004-01-10T13:12:00+00:00 from site GS018 (lat:18.04, long:-83.81333333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Honduras, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Honduras as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-83.81333333","18.04","2.2","27.4","2","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:35mi off Rosario Bank, Honduras","2004-01-10T13:12:00+00:00","ocean biome","open ocean","water","0.14","5.6","0.59","0.1","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"19","ERS689148","GS018 viralµm","Water sample taken on 2004-01-10T13:12:00+00:00 from site GS018 (lat:18.04, long:-83.81333333), viral fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Honduras, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Honduras as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-83.81333333","18.04","2.2","27.4","2","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:35mi off Rosario Bank, Honduras","2004-01-10T13:12:00+00:00","ocean biome","open ocean","water","0.14","5.6","0.59","0.1","35.4","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"20","ERS689149","GS019 0.1µm","Water sample taken on 2004-01-12T14:03:00+00:00 from site GS019 (lat:10.73266667, long:-80.25866667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-80.25866667","10.73266667","2.2","27.7","1.6","Caribbean Sea:Southwestern Caribbean Marine Ecoregion:92mi N of Panama Canal","2004-01-12T14:03:00+00:00","ocean biome","coastal ocean","water","0.23","6.4","0","0.038","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"21","ERS689150","GS020 0.1µm","Water sample taken on 2004-01-15T15:24:00+00:00 from site GS020 (lat:9.179, long:-79.839), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-79.839","9.179","169.5","28.5","1.8","Central America:Panama:Lake Gatun near Barro Colorado, Panama","2004-01-15T15:24:00+00:00","ocean biome","fresh water","water","n/a","5.84","4.2","0.3","0.06","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"22","ERS689151","GS021 0.1µm","Water sample taken on 2004-01-19T21:48:00+00:00 from site GS021 (lat:8.141666667, long:-79.699), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-79.699","8.141666667","1.1","27.6","1.5","North Pacific Ocean:Panama Bight Marine Ecoregion:35mi off Panama City, Panama","2004-01-19T21:48:00+00:00","ocean biome","coastal ocean","water","0.5","6.4","0.36","0.3","30.7","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"23","ERS689152","GS022 0.1µm","Water sample taken on 2004-01-20T21:39:00+00:00 from site GS022 (lat:6.502, long:-82.90766667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-82.90766667","6.502","1.3","29.3","1.9","North Pacific Ocean:Nicoya Marine Ecoregion:250mi from Panama Canal, Panama","2004-01-20T21:39:00+00:00","ocean biome","open ocean","water","0.33","5.4","0.17","0","32.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"24","ERS689153","GS023 0.1µm","Water sample taken on 2004-01-21T21:00:00+00:00 from site GS023 (lat:5.646666667, long:-86.58033333), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Costa Rica, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Costa Rica as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-86.58033333","5.646666667","1.1","28.7","1.9","North Pacific Ocean:Cocos Islands Marine Ecoregion:30mi from Cocos Island, Costa Rica","2004-01-21T21:00:00+00:00","ocean biome","open ocean","water","0.07","6.5","0.052","0","32.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"25","ERS689154","GS024 viralµm","Water sample taken on 2004-01-27T19:11:00+00:00 from site GS024 (lat:5.583333333, long:-87.05), viral fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Costa Rica, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Costa Rica as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-87.05","5.583333333","0.83","28","9.6","North Pacific Ocean:Cocos Islands Marine Ecoregion:Bajo Manuelita Cocos Island, Costa Rica","2004-01-27T19:11:00+00:00","ocean biome","coastal ocean","water","0.11","6","0.25","0","32.9","408172","454 GS 20","ENA default sample checklist (ERC000011)"
"26","ERS689155","GS025 0.8µm","Water sample taken on 2004-01-28T16:51:00+00:00 from site GS025 (lat:5.5, long:-87.06666667), 0.8µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Costa Rica, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Costa Rica as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-87.06666667","5.5","0.73","28.3","0.98","North Pacific Ocean:Cocos Islands Marine Ecoregion:Dirty Rock, Cocos Island, Costa Rica","2004-01-28T16:51:00+00:00","ocean biome","fringing reef","water","0.11","6.5","0.11","0","31.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"27","ERS689156","GS026 0.1µm","Water sample taken on 2004-02-01T22:16:00+00:00 from site GS026 (lat:1.278566667, long:-89.30646667), 0.1µm filter fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size-fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Ecuador, the country from which the sample was obtained.  Users of this information agree to:  1) acknowledge Ecuador as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website:  http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes.","root:Environmental:Aquatic:Marine:Oceanic:Photic zone","-89.30646667","1.278566667","0.33","27.8","1.8","North Pacific Ocean:Northern Galapagos Islands Marine Ecoregion:134mi N of Galapagos Islands","2004-02-01T22:16:00+00:00","ocean biome","open ocean","water","0.22","6","0.33","0","32.6","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
